R(Å)      exactPDF    g(Te-Te)    g(As-Te)    g(As-As)    
  2.587194    -0.53377    -1.16581    -0.11688    -1.16581
  2.605674    -0.34056    -1.17414     0.42536    -1.17414
  2.624154    -0.12569    -1.18247     0.89371    -1.18247
  2.642634     0.10656    -1.19079     2.01497    -1.19079
  2.661114     0.35078    -1.19912     2.36054    -1.19912
  2.679594     0.60064    -1.20745     3.29735    -1.20745
  2.698074     0.84914    -1.21578     4.50760    -1.21578
  2.716554     1.08893    -1.22410     4.56653    -1.22410
  2.735034     1.31265    -1.23243     5.54315    -1.23243
  2.753514     1.51332    -1.24076     6.66511    -1.24076
  2.771994     1.68468    -1.24908     6.00176    -1.24908
  2.790473     1.82154    -1.25741     5.71097    -1.25741
  2.808953     1.92004    -1.26574     6.07034    -1.26574
  2.827433     1.97789    -1.27407     6.04840    -1.27407
  2.845913     1.99444    -1.28239     6.01576    -1.28239
  2.864393     1.97072    -1.29072     6.47071    -1.29072
  2.882873     1.90935    -1.29905     6.11187    -1.29905
  2.901353     1.81437    -1.30737     5.72239    -1.30737
  2.919833     1.69095    -1.31570     5.38419    -1.31570
  2.938313     1.54508    -1.32403     5.53801    -1.32403
  2.956793     1.38315    -1.33236     5.82157    -1.33236
  2.975273     1.21160    -1.34068     5.20062    -1.34068
  2.993753     1.03649    -1.34901     4.27116    -1.34901
  3.012233     0.86316    -1.35734     3.88800    -1.35734
  3.030713     0.69595    -1.36567     3.46949    -1.36567
  3.049193     0.53799    -1.37399     3.22456    -1.37399
  3.067673     0.39107    -1.38232     3.27973    -1.38232
  3.086153     0.25570    -1.39065     2.91426    -1.39065
  3.104633     0.13115    -1.39897     2.45370    -1.39897
  3.123113     0.01570    -1.40730     2.19308    -1.40730
  3.141593    -0.09312    -1.41563     1.26761    -1.41563
  3.160073    -0.19817    -1.42396     1.36105    -1.42396
  3.178553    -0.30236    -1.43228     1.07479    -1.43228
  3.197033    -0.40827    -1.44061     0.80668    -1.44061
  3.215512    -0.51783    -1.44894     0.53938    -1.44894
  3.233992    -0.63208    -1.45726     0.45295    -1.45726
  3.252472    -0.75098    -1.46559     0.04866    -1.46559
  3.270952    -0.87332    -1.47387    -0.52113    -1.47392
  3.289432    -0.99677    -1.47458    -0.69058    -1.48225
  3.307912    -1.11801    -1.44724    -0.75523    -1.49057
  3.326392    -1.23296    -1.45491    -1.00892    -1.49890
  3.344872    -1.33714    -1.48969    -1.01576    -1.50723
  3.363352    -1.42596    -1.46974    -1.08908    -1.51556
  3.381832    -1.49519    -1.38283    -1.23603    -1.52388
  3.400312    -1.54130    -1.33766    -1.22817    -1.53221
  3.418792    -1.56181    -1.33814    -1.29947    -1.54054
  3.437272    -1.55554    -1.39990    -1.48146    -1.54886
  3.455752    -1.52278    -1.26921    -1.47169    -1.55719
  3.474232    -1.46533    -1.29624    -1.51517    -1.56552
  3.492712    -1.38641    -1.12840    -1.50403    -1.57385
  3.511192    -1.29046    -1.08787    -1.54051    -1.58217
  3.529672    -1.18280    -1.05358    -1.56268    -1.59050
  3.548152    -1.06920    -0.86830    -1.59631    -1.59875
  3.566632    -0.95546    -0.83075    -1.60715    -1.59216
  3.585112    -0.84684    -0.79311    -1.61548    -1.48689
  3.603592    -0.74760     0.00856    -1.62381    -1.54461
  3.622072    -0.66060     0.46122    -1.63214    -1.57904
  3.640551    -0.58692     0.02024    -1.64046    -1.49290
  3.659031    -0.52566     0.14409    -1.64879    -1.35844
  3.677511    -0.47391     0.91371    -1.65712    -1.05325
  3.695991    -0.42678     1.33361    -1.66545    -0.81604
  3.714471    -0.37775     0.73532    -1.67377    -0.72074
  3.732951    -0.31899     0.84248    -1.68210    -0.69192
  3.751431    -0.24198     1.33654    -1.69043    -0.34180
  3.769911    -0.13807     1.56694    -1.69875    -0.08828
  3.788391     0.00077     1.94789    -1.70708     0.67227
  3.806871     0.18133     1.99470    -1.71541     1.26239
  3.825351     0.40845     2.04033    -1.72374     2.38187
  3.843831     0.68453     2.91418    -1.73206     2.69378
  3.862311     1.00907     3.18736    -1.74039     2.95233
  3.880791     1.37847     3.40995    -1.74872     4.12854
  3.899271     1.78593     3.75639    -1.75704     5.40022
  3.917751     2.22165     4.57881    -1.76537     5.59688
  3.936231     2.67316     5.38279    -1.77370     5.97296
  3.954711     3.12586     5.34636    -1.78203     6.23833
  3.973191     3.56372     7.23364    -1.79035     7.00247
  3.991671     3.97008     8.44221    -1.79868     7.56244
  4.010151     4.32854     8.86646    -1.80701     8.44571
  4.028631     4.62383    10.44784    -1.81534     9.86278
  4.047111     4.84265    10.66870    -1.82366     9.73911
  4.065590     4.97443    10.04757    -1.83199     8.46830
  4.084070     5.01190    10.12554    -1.84032     8.84226
  4.102550     4.95154     9.46292    -1.84864     9.27179
  4.121030     4.79378     9.62085    -1.85697     8.67375
  4.139510     4.54299     9.94310    -1.86530     7.54373
  4.157990     4.20725     8.18566    -1.87363     7.53264
  4.176470     3.79793     7.76241    -1.88195     6.96814
  4.194950     3.32907     7.28582    -1.89028     6.04313
  4.213430     2.81666     6.01678    -1.89861     4.93599
  4.231910     2.27776     4.83884    -1.90693     5.23495
  4.250390     1.72971     3.80241    -1.91526     3.86012
  4.268870     1.18920     2.99512    -1.92359     3.02723
  4.287350     0.67153     2.41207    -1.93192     4.04399
  4.305830     0.18992     1.83050    -1.94024     3.85343
  4.324310    -0.24502     0.94774    -1.94857     2.48463
  4.342790    -0.62561     0.39383    -1.95690     2.05228
  4.361270    -0.94730    -0.20899    -1.96523     1.94967
  4.379750    -1.20862    -0.65600    -1.97355     2.08437
  4.398230    -1.41095    -1.03814    -1.98186     0.91831
  4.416710    -1.55819    -1.47187    -1.98673     0.55705
  4.435190    -1.65621    -1.55931    -1.97458     0.67052
  4.453670    -1.71234    -1.64724    -1.97464     0.57022
  4.472150    -1.73469    -1.65498    -1.96410     0.66751
  4.490629    -1.73152    -1.79848    -1.92674     0.09783
  4.509109    -1.71069    -1.81881    -1.95986    -0.06993
  4.527589    -1.67917    -1.85732    -1.84438     0.11747
  4.546069    -1.64257    -1.96893    -1.79255    -0.06262
  4.564549    -1.60496    -2.00348    -1.85842    -0.05703
  4.583029    -1.56869    -2.05990    -1.69166    -0.30021
  4.601509    -1.53445    -2.07237    -1.57599    -0.34238
  4.619989    -1.50140    -2.05965    -1.51562    -0.44226
  4.638469    -1.46744    -2.07521    -1.17608    -0.13568
  4.656949    -1.42956    -2.09813    -1.06568    -0.54685
  4.675429    -1.38427    -2.10679    -0.85208    -0.61434
  4.693909    -1.32804    -2.11512    -0.70493    -0.90988
  4.712389    -1.25766    -2.12344    -0.35178    -0.71782
  4.730869    -1.17072    -2.13177    -0.03292    -0.84614
  4.749349    -1.06582    -2.14010     0.33573    -1.00453
  4.767829    -0.94285    -2.14842     0.88133    -1.43853
  4.786309    -0.80307    -2.15669     1.20847    -1.29376
  4.804789    -0.64912    -2.15799     1.42423    -1.07513
  4.823269    -0.48488    -2.14661     1.73280    -1.16364
  4.841749    -0.31529    -2.17840     2.20013    -1.39899
  4.860229    -0.14601    -2.19005     2.86101    -1.43039
  4.878709     0.01685    -2.19839     3.26872    -1.30525
  4.897189     0.16721    -2.20672     3.06707    -1.59355
  4.915669     0.29934    -2.21504     3.14661    -1.79960
  4.934148     0.40823    -2.22337     3.58145    -1.75529
  4.952628     0.48990    -2.23170     3.94577    -2.06290
  4.971108     0.54164    -2.24002     3.96221    -2.07867
  4.989588     0.56215    -2.24835     4.14889    -2.10294
  5.008068     0.55158    -2.25668     3.96046    -2.06247
  5.026548     0.51152    -2.26405     4.38933    -2.01879
  5.045028     0.44481    -2.25323     4.52547    -2.01593
  5.063508     0.35536    -2.26455     4.52823    -2.11382
  5.081988     0.24785    -2.24575     3.97403    -2.27372
  5.100468     0.12740    -2.21634     3.51931    -2.29582
  5.118948    -0.00073    -2.29479     3.62068    -2.22073
  5.137428    -0.13152    -2.31337     3.52272    -2.17824
  5.155908    -0.26044    -2.27853     2.78273    -2.31337
  5.174388    -0.38375    -2.24284     2.04918    -2.33159
  5.192868    -0.49860    -2.21972     1.74385    -2.33995
